機種名,台番号,G数,差枚,BB,合成確率,BB確率
マイジャグラーV,1038,0,0,0,1/0.0,1/0.0
マイジャグラーV,1039,0,0,0,1/0.0,1/0.0
マイジャグラーV,1040,0,0,0,1/0.0,1/0.0
マイジャグラーV,1041,0,0,0,1/0.0,1/0.0
マイジャグラーV,1042,0,0,0,1/0.0,1/0.0
マイジャグラーV,1043,0,0,0,1/0.0,1/0.0
マイジャグラーV,1044,0,0,0,1/0.0,1/0.0
マイジャグラーV,1045,0,0,0,1/0.0,1/0.0
マイジャグラーV,1046,0,0,0,1/0.0,1/0.0
マイジャグラーV,1047,0,0,0,1/0.0,1/0.0
マイジャグラーV,1048,0,0,0,1/0.0,1/0.0
マイジャグラーV,1049,0,0,0,1/0.0,1/0.0
マイジャグラーV,1050,0,0,0,1/0.0,1/0.0
マイジャグラーV,1069,0,0,0,1/0.0,1/0.0
マイジャグラーV,1070,0,0,0,1/0.0,1/0.0
マイジャグラーV,1071,0,0,0,1/0.0,1/0.0
マイジャグラーV,1072,0,0,0,1/0.0,1/0.0
マイジャグラーV,1073,0,0,0,1/0.0,1/0.0
マイジャグラーV,1074,0,0,0,1/0.0,1/0.0
マイジャグラーV,1075,0,0,0,1/0.0,1/0.0
マイジャグラーV,1076,0,0,0,1/0.0,1/0.0
マイジャグラーV,1077,0,0,0,1/0.0,1/0.0
マイジャグラーV,1078,0,0,0,1/0.0,1/0.0
マイジャグラーV,1079,0,0,0,1/0.0,1/0.0
マイジャグラーV,1080,0,0,0,1/0.0,1/0.0
マイジャグラーV,1081,0,0,0,1/0.0,1/0.0
マイジャグラーV,1082,0,0,0,1/0.0,1/0.0
マイジャグラーV,1083,0,0,0,1/0.0,1/0.0
マイジャグラーV,1084,0,0,0,1/0.0,1/0.0
マイジャグラーV,1085,0,0,0,1/0.0,1/0.0
マイジャグラーV,1086,0,0,0,1/0.0,1/0.0
マイジャグラーV,1087,0,0,0,1/0.0,1/0.0
マイジャグラーV,1088,0,0,0,1/0.0,1/0.0
マイジャグラーV,1089,0,0,0,1/0.0,1/0.0
マイジャグラーV,1090,0,0,0,1/0.0,1/0.0
マイジャグラーV,1091,0,0,0,1/0.0,1/0.0
マイジャグラーV,1092,0,0,0,1/0.0,1/0.0
マイジャグラーV,1093,0,0,0,1/0.0,1/0.0
マイジャグラーV,1094,0,0,0,1/0.0,1/0.0
マイジャグラーV,1095,0,0,0,1/0.0,1/0.0
マイジャグラーV,1096,0,0,0,1/0.0,1/0.0
マイジャグラーV,1097,0,0,0,1/0.0,1/0.0
マイジャグラーV,1098,0,0,0,1/0.0,1/0.0
マイジャグラーV,1099,0,0,0,1/0.0,1/0.0
モンスターハンターライズ,2059,0,0,0,1/0.0,1/0.0
モンスターハンターライズ,2060,0,0,0,1/0.0,1/0.0
モンスターハンターライズ,2061,0,0,0,1/0.0,1/0.0
モンスターハンターライズ,2062,0,0,0,1/0.0,1/0.0
モンスターハンターライズ,2063,0,0,0,1/0.0,1/0.0
モンスターハンターライズ,2064,0,0,0,1/0.0,1/0.0
モンスターハンターライズ,2065,0,0,0,1/0.0,1/0.0
モンスターハンターライズ,2066,0,0,0,1/0.0,1/0.0
モンスターハンターライズ,2067,0,0,0,1/0.0,1/0.0
モンスターハンターライズ,2068,0,0,0,1/0.0,1/0.0
モンスターハンターライズ,2103,0,0,0,1/0.0,1/0.0
モンスターハンターライズ,2104,0,0,0,1/0.0,1/0.0
モンスターハンターライズ,2105,0,0,0,1/0.0,1/0.0
モンスターハンターライズ,2106,0,0,0,1/0.0,1/0.0
モンスターハンターライズ,2107,0,0,0,1/0.0,1/0.0
モンスターハンターライズ,2108,0,0,0,1/0.0,1/0.0
モンスターハンターライズ,2109,0,0,0,1/0.0,1/0.0
モンスターハンターライズ,2110,0,0,0,1/0.0,1/0.0
モンスターハンターライズ,2111,0,0,0,1/0.0,1/0.0
モンスターハンターライズ,2112,0,0,0,1/0.0,1/0.0
モンスターハンターライズ,2113,0,0,0,1/0.0,1/0.0
モンスターハンターライズ,2114,0,0,0,1/0.0,1/0.0
モンスターハンターライズ,2115,6,-9,0,1/0.0,1/0.0
モンスターハンターライズ,2116,0,0,0,1/0.0,1/0.0
モンスターハンターライズ,2117,0,0,0,1/0.0,1/0.0
モンスターハンターライズ,2118,0,0,0,1/0.0,1/0.0
モンスターハンターライズ,2119,0,0,0,1/0.0,1/0.0
モンスターハンターライズ,2120,0,0,0,1/0.0,1/0.0
スマスロ北斗の拳,2207,0,0,0,1/0.0,1/0.0
スマスロ北斗の拳,2208,0,0,0,1/0.0,1/0.0
スマスロ北斗の拳,2209,0,0,0,1/0.0,1/0.0
スマスロ北斗の拳,2210,0,0,0,1/0.0,1/0.0
スマスロ北斗の拳,2211,0,0,0,1/0.0,1/0.0
スマスロ北斗の拳,2212,0,0,0,1/0.0,1/0.0
スマスロ北斗の拳,2213,0,0,0,1/0.0,1/0.0
スマスロ北斗の拳,2214,0,0,0,1/0.0,1/0.0
スマスロ北斗の拳,2215,0,0,0,1/0.0,1/0.0
スマスロ北斗の拳,2216,0,0,0,1/0.0,1/0.0
スマスロ北斗の拳,2225,0,0,0,1/0.0,1/0.0
スマスロ北斗の拳,2226,0,0,0,1/0.0,1/0.0
スマスロ北斗の拳,2227,0,0,0,1/0.0,1/0.0
スマスロ北斗の拳,2228,0,0,0,1/0.0,1/0.0
スマスロ北斗の拳,2229,0,0,0,1/0.0,1/0.0
スマスロ北斗の拳,2230,0,0,0,1/0.0,1/0.0
スマスロ北斗の拳,2231,0,0,0,1/0.0,1/0.0
スマスロ北斗の拳,2232,0,0,0,1/0.0,1/0.0
スマスロ北斗の拳,2233,0,0,0,1/0.0,1/0.0
スマスロ北斗の拳,2234,0,0,0,1/0.0,1/0.0
スマスロ北斗の拳,2235,0,0,0,1/0.0,1/0.0
スマスロ北斗の拳,2236,0,0,0,1/0.0,1/0.0
スマスロ北斗の拳,2237,0,0,0,1/0.0,1/0.0
スマスロ北斗の拳,2238,0,0,0,1/0.0,1/0.0
スマスロ北斗の拳,2239,0,0,0,1/0.0,1/0.0
スマスロ北斗の拳,2240,0,0,0,1/0.0,1/0.0
ゴーゴージャグラー3,1100,0,0,0,1/0.0,1/0.0
ゴーゴージャグラー3,1101,0,0,0,1/0.0,1/0.0
ゴーゴージャグラー3,1102,0,0,0,1/0.0,1/0.0
ゴーゴージャグラー3,1103,0,0,0,1/0.0,1/0.0
ゴーゴージャグラー3,1104,0,0,0,1/0.0,1/0.0
ゴーゴージャグラー3,1105,0,0,0,1/0.0,1/0.0
ゴーゴージャグラー3,1106,0,0,0,1/0.0,1/0.0
ゴーゴージャグラー3,1107,0,0,0,1/0.0,1/0.0
ゴーゴージャグラー3,1108,0,0,0,1/0.0,1/0.0
ゴーゴージャグラー3,1109,0,0,0,1/0.0,1/0.0
ゴーゴージャグラー3,1110,0,0,0,1/0.0,1/0.0
ゴーゴージャグラー3,1111,0,0,0,1/0.0,1/0.0
ゴーゴージャグラー3,1112,0,0,0,1/0.0,1/0.0
ゴーゴージャグラー3,1113,0,0,0,1/0.0,1/0.0
ゴーゴージャグラー3,1123,0,0,0,1/0.0,1/0.0
ゴーゴージャグラー3,1124,0,0,0,1/0.0,1/0.0
ゴーゴージャグラー3,1125,0,0,0,1/0.0,1/0.0
ゴーゴージャグラー3,1126,0,0,0,1/0.0,1/0.0
ゴーゴージャグラー3,1127,0,0,0,1/0.0,1/0.0
ゴーゴージャグラー3,1128,0,0,0,1/0.0,1/0.0
ゴーゴージャグラー3,1129,0,0,0,1/0.0,1/0.0
モンキーターンV,2121,0,0,0,1/0.0,1/0.0
モンキーターンV,2122,0,0,0,1/0.0,1/0.0
モンキーターンV,2123,0,0,0,1/0.0,1/0.0
モンキーターンV,2124,0,0,0,1/0.0,1/0.0
モンキーターンV,2135,0,0,0,1/0.0,1/0.0
モンキーターンV,2136,0,0,0,1/0.0,1/0.0
モンキーターンV,2137,0,0,0,1/0.0,1/0.0
モンキーターンV,2138,0,0,0,1/0.0,1/0.0
モンキーターンV,2139,0,0,0,1/0.0,1/0.0
モンキーターンV,2140,0,0,0,1/0.0,1/0.0
モンキーターンV,2141,0,0,0,1/0.0,1/0.0
モンキーターンV,2142,0,0,0,1/0.0,1/0.0
モンキーターンV,2143,0,0,0,1/0.0,1/0.0
モンキーターンV,2144,0,0,0,1/0.0,1/0.0
モンキーターンV,2145,0,0,0,1/0.0,1/0.0
モンキーターンV,2146,0,0,0,1/0.0,1/0.0
モンキーターンV,2147,0,0,0,1/0.0,1/0.0
モンキーターンV,2148,0,0,0,1/0.0,1/0.0
モンキーターンV,2149,0,0,0,1/0.0,1/0.0
モンキーターンV,2150,0,0,0,1/0.0,1/0.0
ディスクアップ ULTRAREMIX,2221,0,0,0,1/0.0,1/0.0
ディスクアップ ULTRAREMIX,2222,0,0,0,1/0.0,1/0.0
ディスクアップ ULTRAREMIX,2223,0,0,0,1/0.0,1/0.0
ディスクアップ ULTRAREMIX,2224,0,0,0,1/0.0,1/0.0
ディスクアップ ULTRAREMIX,2242,0,0,0,1/0.0,1/0.0
ディスクアップ ULTRAREMIX,2243,0,0,0,1/0.0,1/0.0
ディスクアップ ULTRAREMIX,2244,0,0,0,1/0.0,1/0.0
ディスクアップ ULTRAREMIX,2245,0,0,0,1/0.0,1/0.0
ディスクアップ ULTRAREMIX,2246,0,0,0,1/0.0,1/0.0
ディスクアップ ULTRAREMIX,2247,0,0,0,1/0.0,1/0.0
ディスクアップ ULTRAREMIX,2248,0,0,0,1/0.0,1/0.0
ディスクアップ ULTRAREMIX,2249,0,0,0,1/0.0,1/0.0
ディスクアップ ULTRAREMIX,2250,0,0,0,1/0.0,1/0.0
ディスクアップ ULTRAREMIX,2251,0,0,0,1/0.0,1/0.0
ディスクアップ ULTRAREMIX,2252,0,0,0,1/0.0,1/0.0
ディスクアップ ULTRAREMIX,2253,0,0,0,1/0.0,1/0.0
ディスクアップ ULTRAREMIX,2254,0,0,0,1/0.0,1/0.0
からくりサーカス,2173,0,0,0,1/0.0,1/0.0
からくりサーカス,2174,0,0,0,1/0.0,1/0.0
からくりサーカス,2175,0,0,0,1/0.0,1/0.0
からくりサーカス,2176,0,0,0,1/0.0,1/0.0
からくりサーカス,2177,0,0,0,1/0.0,1/0.0
からくりサーカス,2178,0,0,0,1/0.0,1/0.0
からくりサーカス,2179,0,0,0,1/0.0,1/0.0
からくりサーカス,2180,0,0,0,1/0.0,1/0.0
からくりサーカス,2195,0,0,0,1/0.0,1/0.0
からくりサーカス,2196,0,0,0,1/0.0,1/0.0
からくりサーカス,2197,0,0,0,1/0.0,1/0.0
からくりサーカス,2198,0,0,0,1/0.0,1/0.0
からくりサーカス,2199,0,0,0,1/0.0,1/0.0
からくりサーカス,2200,0,0,0,1/0.0,1/0.0
ジャグラーガールズ,1137,0,0,0,1/0.0,1/0.0
ジャグラーガールズ,1138,0,0,0,1/0.0,1/0.0
ジャグラーガールズ,1139,0,0,0,1/0.0,1/0.0
ジャグラーガールズ,1140,0,0,0,1/0.0,1/0.0
ジャグラーガールズ,1141,0,0,0,1/0.0,1/0.0
ジャグラーガールズ,1142,0,0,0,1/0.0,1/0.0
ジャグラーガールズ,1143,0,0,0,1/0.0,1/0.0
ジャグラーガールズ,1145,0,0,0,1/0.0,1/0.0
ジャグラーガールズ,1146,0,0,0,1/0.0,1/0.0
ジャグラーガールズ,1147,0,0,0,1/0.0,1/0.0
ジャグラーガールズ,1148,0,0,0,1/0.0,1/0.0
ジャグラーガールズ,1149,0,0,0,1/0.0,1/0.0
ジャグラーガールズ,1150,0,0,0,1/0.0,1/0.0
アイムジャグラーEX-TP,1130,0,0,0,1/0.0,1/0.0
アイムジャグラーEX-TP,1131,0,0,0,1/0.0,1/0.0
アイムジャグラーEX-TP,1132,0,0,0,1/0.0,1/0.0
アイムジャグラーEX-TP,1133,0,0,0,1/0.0,1/0.0
アイムジャグラーEX-TP,1134,0,0,0,1/0.0,1/0.0
アイムジャグラーEX-TP,1135,0,0,0,1/0.0,1/0.0
アイムジャグラーEX-TP,1136,0,0,0,1/0.0,1/0.0
アイムジャグラーEX-TP,1151,0,0,0,1/0.0,1/0.0
アイムジャグラーEX-TP,1152,0,0,0,1/0.0,1/0.0
アイムジャグラーEX-TP,1153,0,0,0,1/0.0,1/0.0
アイムジャグラーEX-TP,1154,0,0,0,1/0.0,1/0.0
アイムジャグラーEX-TP,1155,0,0,0,1/0.0,1/0.0
ゴッドイーター リザレクション,2125,0,0,0,1/0.0,1/0.0
ゴッドイーター リザレクション,2126,0,0,0,1/0.0,1/0.0
ゴッドイーター リザレクション,2127,0,0,0,1/0.0,1/0.0
ゴッドイーター リザレクション,2128,0,0,0,1/0.0,1/0.0
ゴッドイーター リザレクション,2129,0,0,0,1/0.0,1/0.0
ゴッドイーター リザレクション,2130,0,0,0,1/0.0,1/0.0
ゴッドイーター リザレクション,2131,0,0,0,1/0.0,1/0.0
ゴッドイーター リザレクション,2132,0,0,0,1/0.0,1/0.0
ゴッドイーター リザレクション,2133,0,0,0,1/0.0,1/0.0
ゴッドイーター リザレクション,2134,0,0,0,1/0.0,1/0.0
ファンキージャグラー2,1051,0,0,0,1/0.0,1/0.0
ファンキージャグラー2,1052,0,0,0,1/0.0,1/0.0
ファンキージャグラー2,1053,0,0,0,1/0.0,1/0.0
ファンキージャグラー2,1054,0,0,0,1/0.0,1/0.0
ファンキージャグラー2,1055,0,0,0,1/0.0,1/0.0
ファンキージャグラー2,1056,0,0,0,1/0.0,1/0.0
ファンキージャグラー2,1057,0,0,0,1/0.0,1/0.0
ファンキージャグラー2,1058,0,0,0,1/0.0,1/0.0
ファンキージャグラー2,1059,0,0,0,1/0.0,1/0.0
ファンキージャグラー2,1060,0,0,0,1/0.0,1/0.0
革命機ヴァルヴレイヴ,2201,0,0,0,1/0.0,1/0.0
革命機ヴァルヴレイヴ,2202,0,0,0,1/0.0,1/0.0
革命機ヴァルヴレイヴ,2203,0,0,0,1/0.0,1/0.0
革命機ヴァルヴレイヴ,2204,0,0,0,1/0.0,1/0.0
革命機ヴァルヴレイヴ,2205,0,0,0,1/0.0,1/0.0
革命機ヴァルヴレイヴ,2206,0,0,0,1/0.0,1/0.0
革命機ヴァルヴレイヴ,2217,0,0,0,1/0.0,1/0.0
革命機ヴァルヴレイヴ,2218,0,0,0,1/0.0,1/0.0
革命機ヴァルヴレイヴ,2219,0,0,0,1/0.0,1/0.0
革命機ヴァルヴレイヴ,2220,0,0,0,1/0.0,1/0.0
ウルトラミラクルジャグラー,1115,0,0,0,1/0.0,1/0.0
ウルトラミラクルジャグラー,1116,0,0,0,1/0.0,1/0.0
ウルトラミラクルジャグラー,1117,0,0,0,1/0.0,1/0.0
ウルトラミラクルジャグラー,1118,0,0,0,1/0.0,1/0.0
ウルトラミラクルジャグラー,1119,0,0,0,1/0.0,1/0.0
ウルトラミラクルジャグラー,1120,0,0,0,1/0.0,1/0.0
ウルトラミラクルジャグラー,1121,0,0,0,1/0.0,1/0.0
ウルトラミラクルジャグラー,1122,0,0,0,1/0.0,1/0.0
かぐや様は告らせたい,2165,0,0,0,1/0.0,1/0.0
かぐや様は告らせたい,2166,0,0,0,1/0.0,1/0.0
かぐや様は告らせたい,2167,0,0,0,1/0.0,1/0.0
かぐや様は告らせたい,2168,0,0,0,1/0.0,1/0.0
かぐや様は告らせたい,2169,0,0,0,1/0.0,1/0.0
かぐや様は告らせたい,2170,0,0,0,1/0.0,1/0.0
かぐや様は告らせたい,2171,0,0,0,1/0.0,1/0.0
かぐや様は告らせたい,2172,0,0,0,1/0.0,1/0.0
ルパン三世 大航海者の秘宝,2181,0,0,0,1/0.0,1/0.0
ルパン三世 大航海者の秘宝,2182,0,0,0,1/0.0,1/0.0
ルパン三世 大航海者の秘宝,2183,0,0,0,1/0.0,1/0.0
ルパン三世 大航海者の秘宝,2184,0,0,0,1/0.0,1/0.0
ルパン三世 大航海者の秘宝,2185,0,0,0,1/0.0,1/0.0
ルパン三世 大航海者の秘宝,2186,0,0,0,1/0.0,1/0.0
ルパン三世 大航海者の秘宝,2187,0,0,0,1/0.0,1/0.0
ルパン三世 大航海者の秘宝,2188,0,0,0,1/0.0,1/0.0
東京喰種,2157,0,0,0,1/0.0,1/0.0
東京喰種,2158,0,0,0,1/0.0,1/0.0
東京喰種,2159,0,0,0,1/0.0,1/0.0
東京喰種,2160,0,0,0,1/0.0,1/0.0
東京喰種,2161,0,0,0,1/0.0,1/0.0
東京喰種,2162,0,0,0,1/0.0,1/0.0
東京喰種,2163,0,0,0,1/0.0,1/0.0
東京喰種,2164,0,0,0,1/0.0,1/0.0
甲鉄城のカバネリ,2001,0,0,0,1/0.0,1/0.0
甲鉄城のカバネリ,2002,0,0,0,1/0.0,1/0.0
甲鉄城のカバネリ,2003,0,0,0,1/0.0,1/0.0
甲鉄城のカバネリ,2004,0,0,0,1/0.0,1/0.0
甲鉄城のカバネリ,2005,0,0,0,1/0.0,1/0.0
甲鉄城のカバネリ,2006,0,0,0,1/0.0,1/0.0
甲鉄城のカバネリ,2007,0,0,0,1/0.0,1/0.0
甲鉄城のカバネリ,2008,0,0,0,1/0.0,1/0.0
ToLOVEるダークネス,2069,0,0,0,1/0.0,1/0.0
ToLOVEるダークネス,2070,0,0,0,1/0.0,1/0.0
ToLOVEるダークネス,2071,0,0,0,1/0.0,1/0.0
ToLOVEるダークネス,2072,0,0,0,1/0.0,1/0.0
ToLOVEるダークネス,2073,0,0,0,1/0.0,1/0.0
ToLOVEるダークネス,2074,0,0,0,1/0.0,1/0.0
ToLOVEるダークネス,2075,0,0,0,1/0.0,1/0.0
ミスタージャグラー,1061,0,0,0,1/0.0,1/0.0
ミスタージャグラー,1062,0,0,0,1/0.0,1/0.0
ミスタージャグラー,1063,0,0,0,1/0.0,1/0.0
ミスタージャグラー,1064,0,0,0,1/0.0,1/0.0
ミスタージャグラー,1065,0,0,0,1/0.0,1/0.0
ミスタージャグラー,1066,0,0,0,1/0.0,1/0.0
ミスタージャグラー,1067,0,0,0,1/0.0,1/0.0
ダンベル何キロ持てる？,2151,0,0,0,1/0.0,1/0.0
ダンベル何キロ持てる？,2152,0,0,0,1/0.0,1/0.0
ダンベル何キロ持てる？,2153,0,0,0,1/0.0,1/0.0
ダンベル何キロ持てる？,2154,0,0,0,1/0.0,1/0.0
ダンベル何キロ持てる？,2155,0,0,0,1/0.0,1/0.0
ダンベル何キロ持てる？,2156,0,0,0,1/0.0,1/0.0
戦国乙女4 戦乱に閃く炯眼の軍師,2189,0,0,0,1/0.0,1/0.0
戦国乙女4 戦乱に閃く炯眼の軍師,2190,0,0,0,1/0.0,1/0.0
戦国乙女4 戦乱に閃く炯眼の軍師,2191,0,0,0,1/0.0,1/0.0
戦国乙女4 戦乱に閃く炯眼の軍師,2192,0,0,0,1/0.0,1/0.0
戦国乙女4 戦乱に閃く炯眼の軍師,2193,0,0,0,1/0.0,1/0.0
戦国乙女4 戦乱に閃く炯眼の軍師,2194,0,0,0,1/0.0,1/0.0
チバリヨ2プラス,2076,0,0,0,1/0.0,1/0.0
チバリヨ2プラス,2077,0,0,0,1/0.0,1/0.0
チバリヨ2プラス,2078,0,0,0,1/0.0,1/0.0
チバリヨ2プラス,2079,0,0,0,1/0.0,1/0.0
チバリヨ2プラス,2080,0,0,0,1/0.0,1/0.0
痛いのは嫌なので防御力に極振りしたいと思います。,2092,0,0,0,1/0.0,1/0.0
痛いのは嫌なので防御力に極振りしたいと思います。,2093,0,0,0,1/0.0,1/0.0
痛いのは嫌なので防御力に極振りしたいと思います。,2094,0,0,0,1/0.0,1/0.0
痛いのは嫌なので防御力に極振りしたいと思います。,2095,0,0,0,1/0.0,1/0.0
痛いのは嫌なので防御力に極振りしたいと思います。,2096,0,0,0,1/0.0,1/0.0
L サラリーマン金太郎,2021,0,0,0,1/0.0,1/0.0
L サラリーマン金太郎,2022,0,0,1,1/0.0,1/0.0
L サラリーマン金太郎,2023,0,0,0,1/0.0,1/0.0
L サラリーマン金太郎,2024,0,0,0,1/0.0,1/0.0
シン・エヴァンゲリオン,2088,0,0,0,1/0.0,1/0.0
シン・エヴァンゲリオン,2089,0,0,0,1/0.0,1/0.0
シン・エヴァンゲリオン,2090,0,0,0,1/0.0,1/0.0
シン・エヴァンゲリオン,2091,0,0,0,1/0.0,1/0.0
スーパーブラックジャック,2017,0,0,0,1/0.0,1/0.0
スーパーブラックジャック,2018,0,0,0,1/0.0,1/0.0
スーパーブラックジャック,2019,0,0,0,1/0.0,1/0.0
スーパーブラックジャック,2020,0,0,0,1/0.0,1/0.0
ナイツ,2025,0,0,0,1/0.0,1/0.0
ナイツ,2026,0,0,0,1/0.0,1/0.0
ナイツ,2027,0,0,0,1/0.0,1/0.0
ナイツ,2028,0,0,0,1/0.0,1/0.0
にゃんこ大戦争 超神速,2009,0,0,0,1/0.0,1/0.0
にゃんこ大戦争 超神速,2010,0,0,0,1/0.0,1/0.0
にゃんこ大戦争 超神速,2011,0,0,0,1/0.0,1/0.0
にゃんこ大戦争 超神速,2012,0,0,0,1/0.0,1/0.0
ハイパーラッシュ,2029,0,0,0,1/0.0,1/0.0
ハイパーラッシュ,2030,0,0,0,1/0.0,1/0.0
ハイパーラッシュ,2031,0,0,0,1/0.0,1/0.0
ハイパーラッシュ,2032,0,0,0,1/0.0,1/0.0
バジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,2081,0,0,0,1/0.0,1/0.0
バジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,2082,0,0,0,1/0.0,1/0.0
バジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,2083,0,0,0,1/0.0,1/0.0
バジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,2084,0,0,0,1/0.0,1/0.0
聖戦士ダンバイン,2013,0,0,0,1/0.0,1/0.0
聖戦士ダンバイン,2014,0,0,0,1/0.0,1/0.0
聖戦士ダンバイン,2015,0,0,0,1/0.0,1/0.0
聖戦士ダンバイン,2016,0,0,0,1/0.0,1/0.0
スマスロ炎炎ノ消防隊,2100,0,0,0,1/0.0,1/0.0
スマスロ炎炎ノ消防隊,2101,0,0,0,1/0.0,1/0.0
スマスロ炎炎ノ消防隊,2102,0,0,0,1/0.0,1/0.0
一方通行 とある魔術の禁書目録,2085,0,0,0,1/0.0,1/0.0
一方通行 とある魔術の禁書目録,2086,0,0,0,1/0.0,1/0.0
一方通行 とある魔術の禁書目録,2087,0,0,0,1/0.0,1/0.0
真・一騎当千,2097,0,0,0,1/0.0,1/0.0
真・一騎当千,2098,0,0,0,1/0.0,1/0.0
真・一騎当千,2099,0,0,0,1/0.0,1/0.0
新ハナビ,2033,0,0,0,1/0.0,1/0.0
新ハナビ,2039,0,0,0,1/0.0,1/0.0
バイオハザード RE:2,2034,0,0,0,1/0.0,1/0.0
ボンバーガール,2035,0,0,0,1/0.0,1/0.0
新鬼武者2,2036,0,0,0,1/0.0,1/0.0
グランベルム,2037,0,0,0,1/0.0,1/0.0
交響詩篇エウレカセブン HI-EVOLUTION ZERO TYPE‐ART,2038,0,0,0,1/0.0,1/0.0
黄門ちゃま喝2,2040,0,0,0,1/0.0,1/0.0
麻雀格闘倶楽部 覚醒,2041,0,0,0,1/0.0,1/0.0
ゴジラ対エヴァンゲリオン,2042,0,0,0,1/0.0,1/0.0
犬夜叉2,2043,0,0,0,1/0.0,1/0.0
スーパービンゴネオ,2044,0,0,0,1/0.0,1/0.0
A‐SLOT+ この素晴らしい世界に祝福を！,2045,0,0,0,1/0.0,1/0.0
Re:ゼロから始める異世界生活 season2,2046,0,0,0,1/0.0,1/0.0
主役は銭形4,2047,0,0,0,1/0.0,1/0.0
桃太郎電鉄 ～パチスロも定番!～,2048,0,0,0,1/0.0,1/0.0
マジカルハロウィン8,2049,0,0,0,1/0.0,1/0.0
七つの魔剣が支配する,2050,0,0,0,1/0.0,1/0.0
ゾンビランドサガ,2051,0,0,0,1/0.0,1/0.0
シャーマンキング,2052,0,0,0,1/0.0,1/0.0
頭文字D 2nd,2053,0,0,0,1/0.0,1/0.0
戦国コレクション5超極楽LOOP,2054,0,0,0,1/0.0,1/0.0
ソードアート・オンライン,2055,0,0,0,1/0.0,1/0.0
閃乱カグラ2 SHINOVI MASTER,2056,0,0,0,1/0.0,1/0.0
ありふれた職業で世界最強,2057,0,0,0,1/0.0,1/0.0
キン肉マン～7人の悪魔超人編～,2058,0,0,0,1/0.0,1/0.0
