model_name,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ハッピージャグラーVIII,401,40557,-3473,0.971,358.9,159.0,6153.0,-651.0,0.965,341.8,157.8,4693.0,419.0,1.03,335.2,142.2,4158.0,-988.0,0.921,297.0,166.3,7140.0,-448.0,0.979,238.0,140.0,446.0,-262.0,0.804,,446.0,7432.0,1778.0,1.08,337.8,126.0,1506.0,-430.0,0.905,,251.0,1682.0,-268.0,0.947,1682.0,240.3,3998.0,-958.0,0.92,499.8,199.9,1826.0,-491.0,0.91,365.2,182.6,1523.0,-1174.0,0.743,1523.0,380.8
ハッピージャグラーVIII,402,32714,-1353,0.986,394.1,156.5,888.0,-819.0,0.693,296.0,296.0,6118.0,-1046.0,0.943,322.0,161.0,1158.0,190.0,1.055,579.0,144.8,1017.0,-799.0,0.738,508.5,339.0,3108.0,838.0,1.09,310.8,119.5,2265.0,-688.0,0.899,377.5,188.8,2724.0,-332.0,0.959,681.0,181.6,5382.0,1058.0,1.066,489.3,141.6,2731.0,112.0,1.014,273.1,130.0,5242.0,781.0,1.05,476.5,149.8,2081.0,-648.0,0.896,416.2,208.1
ハッピージャグラーVIII,403,50506,1895,1.013,323.8,144.7,3856.0,386.0,1.033,350.5,142.8,4496.0,-1725.0,0.872,236.6,166.5,3350.0,-675.0,0.933,372.2,176.3,3146.0,-210.0,0.978,393.2,165.6,2869.0,-642.0,0.925,358.6,168.8,7226.0,2639.0,1.122,277.9,118.5,4999.0,1116.0,1.074,312.4,128.2,8434.0,2603.0,1.103,312.4,124.0,5416.0,-1075.0,0.934,386.9,174.7,1597.0,-636.0,0.867,798.5,228.1,5117.0,114.0,1.007,319.8,150.5
ハッピージャグラーVIII,404,42568,-8190,0.936,401.6,178.1,4950.0,-1070.0,0.928,353.6,170.7,4485.0,-1145.0,0.915,640.7,203.9,2236.0,-1951.0,0.709,745.3,447.2,4624.0,-204.0,0.985,308.3,149.2,3344.0,-430.0,0.957,371.6,159.2,4603.0,-1678.0,0.878,460.3,219.2,3183.0,-1122.0,0.883,530.5,227.4,5765.0,-1284.0,0.926,384.3,180.2,3831.0,367.0,1.032,319.2,141.9,3347.0,514.0,1.051,278.9,128.7,2200.0,-187.0,0.972,733.3,200.0
ファンキージャグラー2,336,24044,-1315,0.982,381.7,157.2,,,,,,,,,,,,,,,,,,,,,2221.0,223.0,1.033,555.2,158.6,4944.0,-88.0,0.994,353.1,149.8,1206.0,-552.0,0.847,402.0,201.0,2709.0,-1180.0,0.855,338.6,193.5,4470.0,-1139.0,0.915,496.7,186.2,5406.0,1162.0,1.072,257.4,122.9,3088.0,259.0,1.028,772.0,171.6
ファンキージャグラー2,337,39429,-5953,0.95,428.6,176.0,1834.0,-286.0,0.948,611.3,183.4,3377.0,-838.0,0.917,482.4,187.6,2646.0,-393.0,0.95,529.2,189.0,2764.0,-1574.0,0.81,345.5,230.3,1252.0,-419.0,0.888,417.3,208.7,4394.0,62.0,1.005,549.2,162.7,4305.0,-1330.0,0.897,538.1,215.2,6017.0,-1255.0,0.93,334.3,171.9,3655.0,855.0,1.078,365.5,130.5,5107.0,206.0,1.013,510.7,159.6,4078.0,-981.0,0.92,339.8,185.4
ファンキージャグラー2,338,42338,-2431,0.981,374.7,158.0,2259.0,-54.0,0.992,322.7,141.2,5850.0,-1835.0,0.895,450.0,208.9,2115.0,-764.0,0.88,302.1,176.2,5888.0,-36.0,0.998,392.5,154.9,1719.0,-439.0,0.915,573.0,214.9,4171.0,1029.0,1.082,320.8,126.4,1453.0,-1093.0,0.749,726.5,363.2,8148.0,1406.0,1.058,325.9,133.6,5893.0,4.0,1.0,420.9,155.1,3769.0,39.0,1.003,314.1,145.0,1073.0,-688.0,0.786,536.5,268.2
ファンキージャグラー2,339,42140,-1845,0.985,401.3,158.4,3553.0,1186.0,1.111,444.1,131.6,3240.0,-196.0,0.98,462.9,170.5,5960.0,-1000.0,0.944,397.3,170.3,6480.0,1330.0,1.068,360.0,135.0,2211.0,-935.0,0.859,368.5,201.0,3742.0,878.0,1.078,534.6,143.9,2477.0,-210.0,0.972,495.4,165.1,2888.0,-1232.0,0.858,361.0,206.3,4088.0,-803.0,0.935,340.7,170.3,1417.0,-575.0,0.865,1417.0,283.4,6084.0,-288.0,0.984,338.0,144.9
ファンキージャグラー2,340,39805,-1177,0.99,423.5,158.0,4592.0,-965.0,0.93,417.5,183.7,2684.0,-607.0,0.925,1342.0,206.5,2268.0,-91.0,0.987,378.0,151.2,3640.0,-558.0,0.949,455.0,173.3,2628.0,-526.0,0.933,292.0,146.0,4882.0,1006.0,1.069,488.2,143.6,5409.0,407.0,1.025,284.7,131.9,1516.0,-987.0,0.783,505.3,303.2,6058.0,623.0,1.034,504.8,155.3,1865.0,-572.0,0.898,466.2,186.5,4263.0,1093.0,1.085,426.3,137.5
ファンキージャグラー2,341,36754,-4113,0.963,427.4,172.6,3408.0,251.0,1.025,568.0,154.9,3660.0,-1348.0,0.877,732.0,244.0,2680.0,-59.0,0.993,670.0,191.4,2130.0,-1823.0,0.715,1065.0,426.0,3672.0,1209.0,1.11,524.6,136.0,6864.0,658.0,1.032,361.3,146.0,1242.0,-572.0,0.846,414.0,248.4,6732.0,-1145.0,0.943,280.5,153.0,2413.0,-233.0,0.968,603.2,201.1,1581.0,-1128.0,0.762,527.0,316.2,2372.0,77.0,1.011,263.6,139.5
ファンキージャグラー2,342,36830,-705,0.994,466.2,161.5,3880.0,868.0,1.075,554.3,143.7,2356.0,-1754.0,0.752,1178.0,392.7,3705.0,530.0,1.048,926.2,161.1,1359.0,-729.0,0.821,679.5,271.8,3089.0,-141.0,0.985,308.9,147.1,3852.0,-519.0,0.955,550.3,183.4,7627.0,3357.0,1.147,305.1,113.8,3029.0,-1029.0,0.887,504.8,216.4,3961.0,199.0,1.017,660.2,165.0,2026.0,-746.0,0.877,405.2,202.6,1946.0,-741.0,0.873,389.2,194.6
ファンキージャグラー2,343,60842,8845,1.048,382.7,139.9,3860.0,-717.0,0.938,296.9,167.8,7958.0,3554.0,1.149,418.8,122.4,2772.0,123.0,1.015,924.0,163.1,4200.0,-1870.0,0.852,420.0,210.0,8762.0,2039.0,1.078,365.1,134.8,9286.0,1243.0,1.045,273.1,130.8,2926.0,1087.0,1.124,365.8,117.0,7773.0,1516.0,1.065,370.1,131.7,2935.0,-755.0,0.914,733.8,209.6,5778.0,-362.0,0.979,577.8,175.1,4592.0,2987.0,1.217,353.2,106.8
マイジャグラーV,350,65092,-5738,0.971,433.9,170.0,4158.0,-797.0,0.936,319.8,173.2,6684.0,-3588.0,0.821,668.4,303.8,3816.0,-930.0,0.919,477.0,190.8,6467.0,693.0,1.036,380.4,140.6,4279.0,309.0,1.024,713.2,178.3,5138.0,-378.0,0.975,428.2,171.3,7180.0,-1081.0,0.95,478.7,184.1,7860.0,3206.0,1.136,262.0,112.3,6226.0,-333.0,0.982,691.8,183.1,6660.0,-930.0,0.953,370.0,162.4,6624.0,-1909.0,0.904,552.0,200.7
マイジャグラーV,351,57772,-1530,0.991,387.7,157.4,2563.0,-77.0,0.99,427.2,150.8,6600.0,-1383.0,0.93,550.0,194.1,5328.0,674.0,1.042,355.2,136.6,5094.0,132.0,1.009,318.4,149.8,6546.0,496.0,1.025,363.7,142.3,6502.0,1717.0,1.088,382.5,135.5,2342.0,-94.0,0.987,585.5,180.2,4786.0,-1945.0,0.865,341.9,208.1,5826.0,428.0,1.024,647.3,161.8,6452.0,-890.0,0.954,307.2,161.3,5733.0,-588.0,0.966,337.2,154.9
マイジャグラーV,352,44687,-3058,0.977,399.0,161.9,2706.0,-1290.0,0.841,451.0,225.5,5772.0,-2170.0,0.875,339.5,192.4,5336.0,1243.0,1.078,266.8,124.1,3195.0,-768.0,0.92,355.0,177.5,1549.0,-314.0,0.932,516.3,193.6,4974.0,706.0,1.047,355.3,134.4,3026.0,-228.0,0.975,378.2,159.3,6582.0,1417.0,1.072,822.8,153.1,5331.0,-639.0,0.96,444.2,172.0,4549.0,-228.0,0.983,349.9,156.9,1667.0,-787.0,0.843,833.5,277.8
マイジャグラーV,353,55411,-809,0.995,324.0,150.2,1228.0,-828.0,0.775,614.0,307.0,6240.0,-610.0,0.967,390.0,173.3,2590.0,59.0,1.008,323.8,143.9,4872.0,55.0,1.004,541.3,162.4,6180.0,-1255.0,0.932,363.5,171.7,8998.0,1655.0,1.061,243.2,126.7,4239.0,-19.0,0.999,353.2,151.4,6162.0,-1446.0,0.922,308.1,166.5,7930.0,2904.0,1.122,293.7,120.2,2127.0,-807.0,0.874,531.8,236.3,4845.0,-517.0,0.964,255.0,142.5
マイジャグラーV,354,54645,314,1.002,376.9,152.6,6302.0,-720.0,0.962,450.1,170.3,7308.0,-716.0,0.967,522.0,174.0,2220.0,-1133.0,0.83,2220.0,317.1,6300.0,1935.0,1.102,420.0,126.0,3381.0,628.0,1.062,338.1,135.2,6120.0,-236.0,0.987,340.0,156.9,6604.0,486.0,1.025,287.1,137.6,1913.0,-1104.0,0.808,637.7,318.8,7026.0,1261.0,1.06,281.0,130.1,3542.0,1290.0,1.121,322.0,118.1,3929.0,-1377.0,0.883,357.2,196.4
マイジャグラーV,355,47573,-4127,0.971,417.3,169.3,1347.0,-1001.0,0.752,673.5,449.0,7644.0,-693.0,0.97,449.6,169.9,4318.0,-364.0,0.972,616.9,179.9,2430.0,-888.0,0.878,607.5,243.0,4771.0,-896.0,0.937,596.4,198.8,2552.0,-564.0,0.926,425.3,182.3,4447.0,-780.0,0.942,277.9,158.8,5878.0,796.0,1.045,587.8,158.9,5285.0,1006.0,1.063,310.9,135.5,5237.0,-642.0,0.959,261.8,149.6,3664.0,-101.0,0.991,523.4,166.5
マイジャグラーV,356,50639,-5354,0.965,375.1,165.5,5940.0,378.0,1.021,258.3,138.1,5015.0,-919.0,0.939,417.9,172.9,4505.0,-494.0,0.963,450.5,166.9,6748.0,681.0,1.034,374.9,146.7,3613.0,-949.0,0.912,328.5,172.0,6170.0,-746.0,0.96,411.3,166.8,2857.0,-814.0,0.905,476.2,204.1,2591.0,-1435.0,0.815,647.8,323.9,7336.0,397.0,1.018,293.4,141.1,3448.0,-314.0,0.97,431.0,172.4,2416.0,-1139.0,0.843,805.3,268.4
マイジャグラーV,357,59057,-2803,0.984,381.0,159.6,3360.0,-1864.0,0.815,672.0,280.0,5852.0,-1499.0,0.915,254.4,158.2,4026.0,-1267.0,0.895,447.3,201.3,8365.0,1622.0,1.065,321.7,137.1,1912.0,-384.0,0.933,956.0,212.4,5067.0,361.0,1.024,361.9,140.8,5201.0,1417.0,1.091,577.9,144.5,5194.0,-1296.0,0.917,371.0,185.5,7612.0,2222.0,1.097,317.2,129.0,6845.0,-1470.0,0.928,342.2,167.0,5623.0,-645.0,0.962,624.8,181.4
マイジャグラーV,358,42707,-2140,0.983,395.4,159.4,2695.0,-543.0,0.933,336.9,179.7,5980.0,413.0,1.023,351.8,139.1,6214.0,648.0,1.035,365.5,144.5,2860.0,-62.0,0.993,286.0,143.0,4557.0,1667.0,1.122,414.3,130.2,6296.0,-942.0,0.95,419.7,170.2,2486.0,-694.0,0.907,497.2,191.2,3182.0,-149.0,0.984,397.8,159.1,1971.0,-1996.0,0.662,1971.0,657.0,1661.0,-920.0,0.815,553.7,276.8,4805.0,438.0,1.03,369.6,145.6
マイジャグラーV,369,46217,-3304,0.976,416.4,162.7,1820.0,-865.0,0.842,364.0,202.2,6528.0,1783.0,1.091,466.3,136.0,5040.0,-1591.0,0.895,387.7,186.7,2556.0,-1058.0,0.862,365.1,196.6,3138.0,-161.0,0.983,523.0,165.2,4645.0,-1933.0,0.861,663.6,232.2,2441.0,-1464.0,0.8,813.7,348.7,1669.0,-599.0,0.88,834.5,238.4,8219.0,-184.0,0.993,357.3,155.1,2858.0,-600.0,0.93,571.6,190.5,7303.0,3368.0,1.154,280.9,110.7
マイジャグラーV,370,54082,1677,1.01,389.1,154.1,3564.0,-407.0,0.962,324.0,162.0,3537.0,-1464.0,0.862,505.3,221.1,3234.0,-332.0,0.966,808.5,179.7,5888.0,601.0,1.034,346.4,147.2,4258.0,-112.0,0.991,473.1,163.8,7309.0,1070.0,1.049,304.5,135.4,8347.0,4007.0,1.16,298.1,115.9,3153.0,-1400.0,0.852,394.1,210.2,6245.0,-257.0,0.986,446.1,168.8,2016.0,-1064.0,0.824,2016.0,288.0,6531.0,1035.0,1.053,408.2,148.4
マイジャグラーV,371,51167,1828,1.012,381.8,150.5,1332.0,-512.0,0.872,666.0,222.0,5910.0,-2135.0,0.88,537.3,227.3,4408.0,199.0,1.015,551.0,163.3,3978.0,642.0,1.054,361.6,137.2,634.0,-210.0,0.89,634.0,211.3,4727.0,74.0,1.005,472.7,157.6,2258.0,-842.0,0.876,752.7,250.9,8537.0,1841.0,1.072,284.6,127.4,7499.0,2004.0,1.089,300.0,121.0,5050.0,51.0,1.003,388.5,153.0,6834.0,716.0,1.035,341.7,142.4
マイジャグラーV,372,58941,6364,1.036,403.7,147.0,2794.0,-233.0,0.972,399.1,155.2,7280.0,245.0,1.011,383.2,154.9,2025.0,-152.0,0.975,1012.5,184.1,4065.0,-526.0,0.957,508.1,176.7,4627.0,-436.0,0.969,514.1,178.0,5171.0,1900.0,1.122,470.1,129.3,7338.0,465.0,1.021,349.4,141.1,5614.0,1978.0,1.117,311.9,122.0,7809.0,2717.0,1.116,371.9,128.0,4299.0,-32.0,0.998,390.8,165.3,7919.0,438.0,1.018,416.8,155.3
マイジャグラーV,373,45868,-9286,0.933,382.2,177.1,4185.0,-123.0,0.99,465.0,174.4,3904.0,-2022.0,0.827,488.0,244.0,1952.0,-1139.0,0.805,488.0,244.0,5040.0,-1017.0,0.933,360.0,168.0,5886.0,-1226.0,0.931,346.2,173.1,5557.0,51.0,1.003,370.5,150.2,1416.0,-1116.0,0.737,708.0,354.0,8507.0,120.0,1.005,223.9,130.9,5248.0,-2396.0,0.848,656.0,262.4,1714.0,259.0,1.05,,190.4,2459.0,-677.0,0.908,491.8,204.9
マイジャグラーV,374,48945,-3868,0.974,429.3,169.4,4114.0,1470.0,1.119,514.2,137.1,5625.0,-1696.0,0.899,511.4,216.3,6290.0,2707.0,1.143,370.0,123.3,6776.0,810.0,1.04,376.4,147.3,3642.0,-442.0,0.96,607.0,182.1,4832.0,-575.0,0.96,402.7,172.6,3624.0,-375.0,0.966,402.7,164.7,2913.0,-1081.0,0.876,728.2,224.1,3899.0,-1412.0,0.879,354.5,195.0,2485.0,-1174.0,0.843,414.2,225.9,4745.0,-2100.0,0.852,395.4,215.7
マイジャグラーV,375,49519,-2292,0.985,442.1,164.5,1794.0,-83.0,0.985,256.3,138.0,6075.0,194.0,1.011,552.3,168.8,5267.0,335.0,1.021,376.2,142.4,2548.0,-520.0,0.932,364.0,182.0,3951.0,-578.0,0.951,395.1,179.6,5824.0,584.0,1.033,529.5,149.3,2893.0,-1035.0,0.881,1446.5,222.5,7297.0,909.0,1.042,456.1,148.9,6440.0,-709.0,0.963,306.7,157.1,3923.0,-372.0,0.968,490.4,178.3,3507.0,-1017.0,0.903,701.4,233.8
マイジャグラーV,376,61194,-2188,0.988,425.0,159.8,4056.0,-390.0,0.968,312.0,156.0,7490.0,716.0,1.032,576.2,156.0,5808.0,-187.0,0.989,580.8,170.8,4528.0,-1290.0,0.905,566.0,188.7,4987.0,530.0,1.035,383.6,142.5,7678.0,3370.0,1.146,295.3,114.6,5052.0,-1587.0,0.895,459.3,194.3,5356.0,-1800.0,0.888,412.0,191.3,7033.0,-604.0,0.971,370.2,163.6,4192.0,332.0,1.026,698.7,161.2,5014.0,-1278.0,0.915,417.8,192.8
ミスタージャグラー,344,58200,-2333,0.987,325.1,147.7,3680.0,865.0,1.078,460.0,131.4,7263.0,48.0,1.002,279.3,137.0,4046.0,-213.0,0.982,269.7,139.5,6233.0,-809.0,0.957,415.5,164.0,3845.0,1226.0,1.106,384.5,128.2,8208.0,1875.0,1.076,241.4,122.5,3920.0,57.0,1.005,392.0,156.8,5894.0,-857.0,0.952,310.2,155.1,6601.0,-2804.0,0.858,388.3,200.0,5654.0,-954.0,0.944,332.6,157.1,2856.0,-767.0,0.91,357.0,168.0
ミスタージャグラー,345,54527,3524,1.022,366.0,146.6,4085.0,439.0,1.036,408.5,140.9,6160.0,-28.0,0.998,308.0,146.7,3333.0,-312.0,0.969,333.3,158.7,4494.0,-1070.0,0.921,408.5,179.8,3701.0,-526.0,0.953,411.2,168.2,4339.0,-207.0,0.984,361.6,155.0,2699.0,-259.0,0.968,337.4,168.7,3823.0,-935.0,0.918,318.6,166.2,7356.0,2100.0,1.095,319.8,129.1,5685.0,1857.0,1.109,568.5,138.7,8852.0,2465.0,1.093,368.8,130.2
ミスタージャグラー,346,36538,-6968,0.936,380.6,171.5,2488.0,-1354.0,0.819,414.7,248.8,6000.0,-1626.0,0.91,285.7,166.7,1329.0,-810.0,0.797,1329.0,332.2,3883.0,-1377.0,0.882,388.3,184.9,1418.0,433.0,1.102,472.7,128.9,4531.0,1545.0,1.114,647.3,137.3,3491.0,-532.0,0.949,349.1,166.2,4586.0,-2057.0,0.85,269.8,183.4,4605.0,-477.0,0.965,354.2,164.5,2958.0,-401.0,0.955,369.8,155.7,1249.0,-312.0,0.917,,249.8
ミスタージャグラー,347,45930,-1090,0.992,373.4,153.6,3960.0,1017.0,1.086,396.0,132.0,4862.0,675.0,1.046,405.2,143.0,6188.0,2109.0,1.114,229.2,112.5,3789.0,-1684.0,0.852,631.5,252.6,1459.0,-1041.0,0.762,486.3,291.8,4366.0,-246.0,0.981,363.8,150.6,2591.0,-222.0,0.971,323.9,152.4,3953.0,-2126.0,0.821,494.1,232.5,3586.0,-312.0,0.971,448.2,170.8,6320.0,1683.0,1.089,316.0,123.9,4856.0,-943.0,0.935,539.6,194.2
total,,3308734,-161498,0.984,376.8,157.1,233936.0,-8757.0,0.988,377.9,156.5,384145.0,-30731.0,0.973,392.8,162.0,283952.0,-8394.0,0.99,370.2,154.2,284251.0,-27717.0,0.967,374.5,161.8,232905.0,-9369.0,0.987,376.9,155.7,366883.0,1999.0,1.002,385.0,152.8,271008.0,-9552.0,0.988,375.4,155.8,343359.0,-25056.0,0.976,361.4,157.6,364388.0,-16136.0,0.985,362.9,155.6,262573.0,-16767.0,0.979,375.6,158.2,281334.0,-11018.0,0.987,395.7,158.3
